Shape,Area (m2),Depth (m),Width (m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
W1100x390,0.0499,1.1,0.4,0.0101,0.000386,0.0208,0.003,646.33
W1100x433,0.0553,1.108,0.402,0.0113,0.000435,0.0232,0.00337,716.27
W1100x499,0.0634,1.118,0.405,0.0129,0.0005,0.0266,0.00387,821.19
L19x19x3.2,0.000111,0.0191,0.0191,0.000000005738,0.00000000154,-,-,1.26
L25x25x3.2,0.000151,0.0254,0.0254,0.000000014372,0.000000003736,-,-,1.72
L25x25x4.8,0.000219,0.0254,0.0254,0.000000019562,0.000000005354,-,-,2.49
L25x25x6.4,0.000282,0.0254,0.0254,0.000000023711,0.000000006988,-,-,3.21
L32x32x3.2,0.000192,0.0318,0.0318,0.000000029306,0.000000007509,-,-,2.19
L32x32x4.8,0.00028,0.0318,0.0318,0.000000040667,0.00000001076,-,-,3.19
L32x32x6.4,0.000364,0.0318,0.0318,0.000000050257,0.000000013933,-,-,4.14
L38x38x3.2,0.000232,0.0381,0.0381,0.000000051685,0.000000013141,-,-,2.64
L38x38x4.8,0.00034,0.0381,0.0381,0.000000072635,0.00000001888,-,-,3.87
L38x38x6.4,0.000444,0.0381,0.0381,0.000000090915,0.000000024401,-,-,5.05
L44x44x3.2,0.000273,0.0445,0.0445,0.000000083864,0.000000021225,-,-,3.11
L44x44x4.8,0.000401,0.0445,0.0445,0.000000118942,0.000000030586,-,-,4.56
L44x44x6.4,0.000525,0.0445,0.0445,0.000000150261,0.000000039545,-,-,5.98
L51x38x3.2,0.000273,0.0508,0.0381,0.000000088798,0.000000018647,-,-,3.11
L51x38x4.8,0.000401,0.0508,0.0381,0.000000126218,0.000000026786,-,-,4.56
L51x38x6.4,0.000524,0.0508,0.0381,0.00000015984,0.000000034539,-,-,5.96
L51x51x3.2,0.000313,0.0508,0.0508,0.00000012645,0.000000031909,-,-,3.56
L51x51x4.8,0.000461,0.0508,0.0508,0.000000180554,0.000000046117,-,-,5.25
L51x51x6.4,0.000605,0.0508,0.0508,0.000000229659,0.000000059698,-,-,6.89
L51x51x7.9,0.000744,0.0508,0.0508,0.000000273767,0.000000072827,-,-,8.47
L51x51x9.5,0.000877,0.0508,0.0508,0.000000313231,0.000000085752,-,-,9.98
L64x51x4.8,0.000521,0.0635,0.0508,0.000000271386,0.000000061422,-,-,5.93
L64x51x6.4,0.000685,0.0635,0.0508,0.000000347451,0.000000079508,-,-,7.8
