Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
2L6X3-1/2X1/2SLBB,2L,0.0009000000000000001,0.08889999999999999,,30.6,3.52352e-08,2.9785599999999994e-07,5.1988e-06,1.9516e-05,44.37
2L6X3-1/2X1/2X3/8SLBB,2L,0.0009000000000000001,0.08889999999999999,,30.6,3.52352e-08,3.28224e-07,5.1988e-06,2.0992e-05,44.37
2L6X3-1/2X1/2X3/4SLBB,2L,0.0009000000000000001,0.08889999999999999,,30.6,3.52352e-08,3.6191999999999995e-07,5.1988e-06,2.2304e-05,44.37
2L6X3-1/2X3/8SLBB,2L,0.000688,0.08889999999999999,,23.4,2.7664e-08,2.2422399999999998e-07,4.018e-06,1.47272e-05,33.93
2L6X3-1/2X3/8X3/8SLBB,2L,0.000688,0.08889999999999999,,23.4,2.7664e-08,2.4752e-07,4.018e-06,1.5776799999999998e-05,33.93
2L6X3-1/2X3/8X3/4SLBB,2L,0.000688,0.08889999999999999,,23.4,2.7664e-08,2.7164799999999997e-07,4.018e-06,1.6728e-05,33.93
2L6X3-1/2X5/16SLBB,2L,0.0005780000000000001,0.08889999999999999,,19.6,2.36288e-08,1.85952e-07,3.3947999999999997e-06,1.2218e-05,28.42
2L6X3-1/2X5/16X3/8SLBB,2L,0.0005780000000000001,0.08889999999999999,,19.6,2.36288e-08,2.0508799999999996e-07,3.3947999999999997e-06,1.3070799999999999e-05,28.42
2L6X3-1/2X5/16X3/4SLBB,2L,0.0005780000000000001,0.08889999999999999,,19.6,2.36288e-08,2.25056e-07,3.3947999999999997e-06,1.39236e-05,28.42
2L5X3-1/2X3/4SLBB,2L,0.00117,0.08889999999999999,,39.6,4.5759999999999994e-08,2.6416e-07,7.216e-06,2.0827999999999998e-05,57.42
2L5X3-1/2X3/4X3/8SLBB,2L,0.00117,0.08889999999999999,,39.6,4.5759999999999994e-08,2.97024e-07,7.216e-06,2.2632e-05,57.42
2L5X3-1/2X3/4X3/4SLBB,2L,0.00117,0.08889999999999999,,39.6,4.5759999999999994e-08,3.3404799999999995e-07,7.216e-06,2.4436e-05,57.42
2L5X3-1/2X5/8SLBB,2L,0.000986,0.08889999999999999,,33.6,3.9935999999999994e-08,2.1715199999999998e-07,6.1664e-06,1.7056e-05,48.72
2L5X3-1/2X5/8X3/8SLBB,2L,0.000986,0.08889999999999999,,33.6,3.9935999999999994e-08,2.46272e-07,6.1664e-06,1.8696e-05,48.72
